algorithm_family,graph_type,nodes,algorithm,median_time_ms,median_memory_kb,median_reachable,edges,density_ratio
single_source,sparse,100,Dijkstra_Classic,0.894299999345094,1.6953125,100.0,1481.0,0.1495959595959596
single_source,sparse,100,Dijkstra_Optimized,0.3471000018180348,2.0078125,100.0,1481.0,0.1495959595959596
single_source,sparse,250,Dijkstra_Classic,8.374400000320747,4.0390625,250.0,9356.0,0.15029718875502007
single_source,sparse,250,Dijkstra_Optimized,2.2643999982392415,6.0859375,250.0,9356.0,0.15029718875502007
single_source,sparse,500,Dijkstra_Classic,271.8927000023541,8.0390625,500.0,37188.0,0.1490501002004008
single_source,sparse,500,Dijkstra_Optimized,5.13900000078138,13.6953125,500.0,37188.0,0.1490501002004008
single_source,sparse,1000,Dijkstra_Classic,1313.2438999964506,15.8515625,1000.0,149835.0,0.149984984984985
single_source,sparse,1000,Dijkstra_Optimized,28.529700000945013,71.265625,1000.0,149835.0,0.149984984984985
single_source,sparse,1500,Dijkstra_Classic,3325.8915999977035,23.6640625,1500.0,337166.0,0.14995152323771402
single_source,sparse,1500,Dijkstra_Optimized,53.91770000278484,175.1640625,1500.0,337166.0,0.14995152323771402
