density_percent,algorithm,samples,unique_nodes,min_time_ms,median_time_ms,max_time_ms
0,BFS,2000,100,0.0068999997893115,0.6547500001943263,14.541700000336276
0,DFS_Iterative,2000,100,0.0068999997893115,1.2749500001518754,15.563599999950384
5,BFS,2000,100,0.0067000000854022,1.4483999998446961,35.51100000004226
5,DFS_Iterative,2000,100,0.0138999994305777,3.1895500001155597,42.02789999999368
10,BFS,2000,100,0.006299999768089,2.066699999886623,40.81150000001799
10,DFS_Iterative,2000,100,0.0134000001708045,4.714299999704963,93.81130000019766
15,BFS,2000,100,0.0063999996200436,2.839649999714311,56.41579999974056
15,DFS_Iterative,2000,100,0.0138000004881178,6.254750000152853,139.5727999997689
20,BFS,2000,100,0.0133999992613098,3.2988499997372855,109.21909999979108
20,DFS_Iterative,2000,100,0.0138000004881178,8.014000000002852,118.31359999996494
25,BFS,2000,100,0.0130999997054459,4.180649999852903,58.463299999857554
25,DFS_Iterative,2000,100,0.0070999994932208,9.216200000082608,239.0000000004875
30,BFS,2000,100,0.0063999996200436,5.16315000004397,93.54419999999664
30,DFS_Iterative,2000,100,0.0069999996412661,10.918600000422884,185.87050000041927
35,BFS,2000,100,0.0067999999373569,5.965150000065478,143.42880000003788
35,DFS_Iterative,2000,100,0.0069999996412661,13.722550000238698,195.50909999998112
40,BFS,2000,100,0.0063999996200436,6.401650000043446,176.95520000052056
40,DFS_Iterative,2000,100,0.0073000001066247,15.452600000571692,163.48819999984698
45,BFS,2000,100,0.0130999997054459,7.496800000353687,174.6144999997341
45,DFS_Iterative,2000,100,0.0070999994932208,17.46084999967934,195.50100000014936
50,BFS,2000,100,0.0064999994719983,8.207149999634566,195.12080000004065
50,DFS_Iterative,2000,100,0.0068999997893115,18.753100000139966,278.7750999996206
55,BFS,2000,100,0.0066000002334476,9.443899999496352,105.67639999953826
55,DFS_Iterative,2000,100,0.0141000000439817,21.46500000026208,308.7789999999586
60,BFS,2000,100,0.0063999996200436,9.781749999547174,211.50939999915863
60,DFS_Iterative,2000,100,0.0079999999798019,23.339199999554694,287.0022000006429
65,BFS,2000,100,0.012800000149582,10.370749999765394,246.0415000005014
65,DFS_Iterative,2000,100,0.0070999994932208,26.62045000033686,315.24830000034854
70,BFS,2000,100,0.012599999536178,12.006550000023708,193.0925999995452
70,DFS_Iterative,2000,100,0.0072000002546701,28.029550000155723,308.07310000000143
75,BFS,2000,100,0.012800000149582,12.159599999904458,283.49359999992885
75,DFS_Iterative,2000,100,0.0070999994932208,28.962500000034197,287.20110000085697
80,BFS,2000,100,0.0064999994719983,12.261750000106986,223.51880000042
80,DFS_Iterative,2000,100,0.0068999997893115,33.008649999828776,300.36759999984497
85,BFS,2000,100,0.0064999994719983,12.942800000018906,202.88330000039423
85,DFS_Iterative,2000,100,0.0068999997893115,34.508650000589114,315.5482000001939
90,BFS,2000,100,0.0067000000854022,14.568250000138505,205.67620000019812
90,DFS_Iterative,2000,100,0.0070000005507608,36.68835000007675,350.8676999999807
95,BFS,2000,100,0.0063999996200436,15.539100000296457,164.60079999978916
95,DFS_Iterative,2000,100,0.0069999996412661,40.244799999982206,362.06380000021454
100,BFS,2000,100,0.0063999996200436,16.077100000529754,203.0267999998614
100,DFS_Iterative,2000,100,0.0072000002546701,41.93384999962291,398.61610000025394
