algorithm,algorithm_family,execution_time_ms,peak_memory_kb,reachable_distances,trial,nodes,edges,density_ratio,graph_type
Dijkstra_Classic,single_source,5.648300000757445,4.015625,250,1,250,21727,0.3490281124497992,medium
Dijkstra_Classic,single_source,5.003099999157712,4.0390625,250,2,250,21727,0.3490281124497992,medium
Dijkstra_Classic,single_source,4.907200003799517,4.0390625,250,3,250,21727,0.3490281124497992,medium
Dijkstra_Classic,single_source,5.148099997313693,4.0390625,250,4,250,21727,0.3490281124497992,medium
Dijkstra_Classic,single_source,6.4468999989912845,4.0390625,250,5,250,21727,0.3490281124497992,medium
Dijkstra_Optimized,single_source,2.8418000001693144,7.25,250,1,250,21727,0.3490281124497992,medium
Dijkstra_Optimized,single_source,4.321199994592462,7.2734375,250,2,250,21727,0.3490281124497992,medium
Dijkstra_Optimized,single_source,4.334699995524716,7.2734375,250,3,250,21727,0.3490281124497992,medium
Dijkstra_Optimized,single_source,4.211999999824911,7.2734375,250,4,250,21727,0.3490281124497992,medium
Dijkstra_Optimized,single_source,4.4060000000172295,7.2734375,250,5,250,21727,0.3490281124497992,medium
Dijkstra_Classic,single_source,159.44450000097277,8.015625,500,1,500,87610,0.35114228456913826,medium
Dijkstra_Classic,single_source,259.56359999690903,8.0390625,500,2,500,87610,0.35114228456913826,medium
Dijkstra_Classic,single_source,192.75159999961033,8.0390625,500,3,500,87610,0.35114228456913826,medium
Dijkstra_Classic,single_source,245.222500001546,8.0390625,500,4,500,87610,0.35114228456913826,medium
Dijkstra_Classic,single_source,205.97750000160886,8.0390625,500,5,500,87610,0.35114228456913826,medium
Dijkstra_Optimized,single_source,14.38419999612961,16.328125,500,1,500,87610,0.35114228456913826,medium
Dijkstra_Optimized,single_source,12.730399997963104,16.3515625,500,2,500,87610,0.35114228456913826,medium
Dijkstra_Optimized,single_source,8.49220000236528,16.3515625,500,3,500,87610,0.35114228456913826,medium
Dijkstra_Optimized,single_source,22.66859999508597,16.3515625,500,4,500,87610,0.35114228456913826,medium
Dijkstra_Optimized,single_source,14.159600003040396,16.3515625,500,5,500,87610,0.35114228456913826,medium
Dijkstra_Classic,single_source,1332.5212999989162,15.828125,1000,1,1000,349687,0.35003703703703704,medium
Dijkstra_Classic,single_source,1140.6719999940833,15.8515625,1000,2,1000,349687,0.35003703703703704,medium
Dijkstra_Classic,single_source,1361.3987999997335,15.8515625,1000,3,1000,349687,0.35003703703703704,medium
Dijkstra_Classic,single_source,1652.8158000000985,15.8515625,1000,4,1000,349687,0.35003703703703704,medium
Dijkstra_Classic,single_source,1592.8166000012425,15.8515625,1000,5,1000,349687,0.35003703703703704,medium
Dijkstra_Optimized,single_source,40.892500001064036,90.0,1000,1,1000,349687,0.35003703703703704,medium
Dijkstra_Optimized,single_source,44.19639999832725,89.96875,1000,2,1000,349687,0.35003703703703704,medium
Dijkstra_Optimized,single_source,40.038699997239746,89.96875,1000,3,1000,349687,0.35003703703703704,medium
Dijkstra_Optimized,single_source,68.4082000007038,89.96875,1000,4,1000,349687,0.35003703703703704,medium
Dijkstra_Optimized,single_source,109.96960000193212,89.96875,1000,5,1000,349687,0.35003703703703704,medium
Dijkstra_Classic,single_source,3163.1998000011663,23.640625,1500,1,1500,786498,0.3497878585723816,medium
Dijkstra_Classic,single_source,2871.5383000017027,23.6640625,1500,2,1500,786498,0.3497878585723816,medium
Dijkstra_Classic,single_source,3110.8517999964533,23.6640625,1500,3,1500,786498,0.3497878585723816,medium
Dijkstra_Classic,single_source,3306.7741000049864,23.6640625,1500,4,1500,786498,0.3497878585723816,medium
Dijkstra_Classic,single_source,3523.8198000006378,23.6640625,1500,5,1500,786498,0.3497878585723816,medium
Dijkstra_Optimized,single_source,97.00010000233306,192.09375,1500,1,1500,786498,0.3497878585723816,medium
Dijkstra_Optimized,single_source,181.8576999939978,192.0625,1500,2,1500,786498,0.3497878585723816,medium
Dijkstra_Optimized,single_source,109.80070000368869,192.0625,1500,3,1500,786498,0.3497878585723816,medium
Dijkstra_Optimized,single_source,63.38700000196695,192.0625,1500,4,1500,786498,0.3497878585723816,medium
Dijkstra_Optimized,single_source,64.89769999461714,192.0625,1500,5,1500,786498,0.3497878585723816,medium
Dijkstra_Classic,single_source,1.244099999894388,1.671875,100,1,100,6479,0.6544444444444445,dense
Dijkstra_Classic,single_source,1.2522999968496151,1.6953125,100,2,100,6479,0.6544444444444445,dense
Dijkstra_Classic,single_source,2.4240000057034194,1.6953125,100,3,100,6479,0.6544444444444445,dense
Dijkstra_Classic,single_source,2.4256999968201853,1.6953125,100,4,100,6479,0.6544444444444445,dense
Dijkstra_Classic,single_source,1.3737999979639426,1.6953125,100,5,100,6479,0.6544444444444445,dense
Dijkstra_Optimized,single_source,0.738000002456829,2.921875,100,1,100,6479,0.6544444444444445,dense
Dijkstra_Optimized,single_source,0.7049000050756149,2.9453125,100,2,100,6479,0.6544444444444445,dense
Dijkstra_Optimized,single_source,0.690799999574665,2.9453125,100,3,100,6479,0.6544444444444445,dense
Dijkstra_Optimized,single_source,0.734499997633975,2.9453125,100,4,100,6479,0.6544444444444445,dense
Dijkstra_Optimized,single_source,1.0131000017281622,2.9453125,100,5,100,6479,0.6544444444444445,dense
Dijkstra_Classic,single_source,9.057800001755822,4.015625,250,1,250,40433,0.6495261044176707,dense
Dijkstra_Classic,single_source,12.420699997164775,4.0390625,250,2,250,40433,0.6495261044176707,dense
Dijkstra_Classic,single_source,7.301799996639602,4.0390625,250,3,250,40433,0.6495261044176707,dense
Dijkstra_Classic,single_source,6.647200003499165,4.0390625,250,4,250,40433,0.6495261044176707,dense
Dijkstra_Classic,single_source,7.2326000008615665,4.0390625,250,5,250,40433,0.6495261044176707,dense
Dijkstra_Optimized,single_source,4.3428999997559,7.9375,250,1,250,40433,0.6495261044176707,dense
Dijkstra_Optimized,single_source,3.2458000059705228,7.9609375,250,2,250,40433,0.6495261044176707,dense
Dijkstra_Optimized,single_source,3.6947999979020096,7.9609375,250,3,250,40433,0.6495261044176707,dense
Dijkstra_Optimized,single_source,4.472900000109803,7.9609375,250,4,250,40433,0.6495261044176707,dense
Dijkstra_Optimized,single_source,3.4607999987201765,7.9609375,250,5,250,40433,0.6495261044176707,dense
Dijkstra_Classic,single_source,217.0715999964159,8.015625,500,1,500,161855,0.6487174348697394,dense
Dijkstra_Classic,single_source,339.991300003021,8.0390625,500,2,500,161855,0.6487174348697394,dense
Dijkstra_Classic,single_source,209.17480000207433,8.0390625,500,3,500,161855,0.6487174348697394,dense
Dijkstra_Classic,single_source,189.14869999571238,8.0390625,500,4,500,161855,0.6487174348697394,dense
Dijkstra_Classic,single_source,313.2331999950111,8.0390625,500,5,500,161855,0.6487174348697394,dense
Dijkstra_Optimized,single_source,20.28819999395637,16.328125,500,1,500,161855,0.6487174348697394,dense
Dijkstra_Optimized,single_source,18.23059999878751,16.3515625,500,2,500,161855,0.6487174348697394,dense
Dijkstra_Optimized,single_source,12.695500001427718,16.3515625,500,3,500,161855,0.6487174348697394,dense
Dijkstra_Optimized,single_source,12.795499998901505,16.3515625,500,4,500,161855,0.6487174348697394,dense
Dijkstra_Optimized,single_source,15.776399995957036,16.3515625,500,5,500,161855,0.6487174348697394,dense
Dijkstra_Classic,single_source,1060.8319000020856,15.828125,1000,1,1000,649063,0.6497127127127127,dense
Dijkstra_Classic,single_source,1290.7379000025685,15.8515625,1000,2,1000,649063,0.6497127127127127,dense
Dijkstra_Classic,single_source,1035.13849999581,15.8515625,1000,3,1000,649063,0.6497127127127127,dense
Dijkstra_Classic,single_source,832.1271000022534,15.8515625,1000,4,1000,649063,0.6497127127127127,dense
Dijkstra_Classic,single_source,1027.8357999995933,15.8515625,1000,5,1000,649063,0.6497127127127127,dense
Dijkstra_Optimized,single_source,44.17699999612523,91.640625,1000,1,1000,649063,0.6497127127127127,dense
Dijkstra_Optimized,single_source,43.409499994595535,91.609375,1000,2,1000,649063,0.6497127127127127,dense
Dijkstra_Optimized,single_source,56.982499998412095,91.609375,1000,3,1000,649063,0.6497127127127127,dense
Dijkstra_Optimized,single_source,45.05810000409838,91.609375,1000,4,1000,649063,0.6497127127127127,dense
Dijkstra_Optimized,single_source,52.8515999976662,91.609375,1000,5,1000,649063,0.6497127127127127,dense
Dijkstra_Classic,single_source,4364.077599995653,23.640625,1500,1,1500,1461720,0.6500867244829887,dense
Dijkstra_Classic,single_source,4592.637699999614,23.6640625,1500,2,1500,1461720,0.6500867244829887,dense
Dijkstra_Classic,single_source,4628.79690000409,23.6640625,1500,3,1500,1461720,0.6500867244829887,dense
Dijkstra_Classic,single_source,4562.148699995305,23.6640625,1500,4,1500,1461720,0.6500867244829887,dense
Dijkstra_Classic,single_source,4327.302099998633,23.6640625,1500,5,1500,1461720,0.6500867244829887,dense
Dijkstra_Optimized,single_source,292.56940000050236,209.78125,1500,1,1500,1461720,0.6500867244829887,dense
Dijkstra_Optimized,single_source,194.43669999600388,209.75,1500,2,1500,1461720,0.6500867244829887,dense
Dijkstra_Optimized,single_source,189.30189999809954,209.75,1500,3,1500,1461720,0.6500867244829887,dense
Dijkstra_Optimized,single_source,226.50290000456152,209.75,1500,4,1500,1461720,0.6500867244829887,dense
Dijkstra_Optimized,single_source,260.84500000433763,209.75,1500,5,1500,1461720,0.6500867244829887,dense
FloydWarshall_Classic,all_pairs,20.291400003770832,5.3203125,554,1,25,91,0.15166666666666667,sparse
FloydWarshall_Classic,all_pairs,8.977699995739385,5.34375,554,2,25,91,0.15166666666666667,sparse
FloydWarshall_Classic,all_pairs,11.583200001041405,5.34375,554,3,25,91,0.15166666666666667,sparse
FloydWarshall_Classic,all_pairs,9.620199998607859,5.34375,554,4,25,91,0.15166666666666667,sparse
FloydWarshall_Classic,all_pairs,9.29599999653874,5.34375,554,5,25,91,0.15166666666666667,sparse
FloydWarshall_Optimized,all_pairs,4.490299994358793,5.2734375,554,1,25,91,0.15166666666666667,sparse
FloydWarshall_Optimized,all_pairs,4.34809999569552,5.296875,554,2,25,91,0.15166666666666667,sparse
FloydWarshall_Optimized,all_pairs,4.155500006163493,5.296875,554,3,25,91,0.15166666666666667,sparse
FloydWarshall_Optimized,all_pairs,4.145899998547975,5.296875,554,4,25,91,0.15166666666666667,sparse
FloydWarshall_Optimized,all_pairs,4.250099998898804,5.296875,554,5,25,91,0.15166666666666667,sparse
FloydWarshall_Classic,all_pairs,55.1975999987917,20.125,2500,1,50,368,0.15020408163265306,sparse
FloydWarshall_Classic,all_pairs,54.89720000332454,20.1484375,2500,2,50,368,0.15020408163265306,sparse
FloydWarshall_Classic,all_pairs,55.390499997884035,20.1484375,2500,3,50,368,0.15020408163265306,sparse
FloydWarshall_Classic,all_pairs,57.13850000029197,20.1484375,2500,4,50,368,0.15020408163265306,sparse
FloydWarshall_Classic,all_pairs,90.15779999754159,20.1484375,2500,5,50,368,0.15020408163265306,sparse
FloydWarshall_Optimized,all_pairs,31.48939999664435,20.078125,2500,1,50,368,0.15020408163265306,sparse
FloydWarshall_Optimized,all_pairs,29.243099997984245,20.1015625,2500,2,50,368,0.15020408163265306,sparse
FloydWarshall_Optimized,all_pairs,28.932500004884787,20.1015625,2500,3,50,368,0.15020408163265306,sparse
FloydWarshall_Optimized,all_pairs,29.444299994793255,20.1015625,2500,4,50,368,0.15020408163265306,sparse
FloydWarshall_Optimized,all_pairs,28.821200001402758,20.1015625,2500,5,50,368,0.15020408163265306,sparse
FloydWarshall_Classic,all_pairs,145.1840000008815,46.1484375,5625,1,75,824,0.14846846846846848,sparse
FloydWarshall_Classic,all_pairs,274.94210000440944,44.75,5625,2,75,824,0.14846846846846848,sparse
FloydWarshall_Classic,all_pairs,236.70680000213906,44.75,5625,3,75,824,0.14846846846846848,sparse
FloydWarshall_Classic,all_pairs,144.4991000025766,44.75,5625,4,75,824,0.14846846846846848,sparse
FloydWarshall_Classic,all_pairs,144.84330000414047,44.75,5625,5,75,824,0.14846846846846848,sparse
FloydWarshall_Optimized,all_pairs,113.8855000026524,44.6796875,5625,1,75,824,0.14846846846846848,sparse
FloydWarshall_Optimized,all_pairs,110.74320000625448,44.703125,5625,2,75,824,0.14846846846846848,sparse
FloydWarshall_Optimized,all_pairs,108.3784000002197,44.703125,5625,3,75,824,0.14846846846846848,sparse
FloydWarshall_Optimized,all_pairs,128.6772999956156,44.703125,5625,4,75,824,0.14846846846846848,sparse
FloydWarshall_Optimized,all_pairs,173.30780000338564,44.703125,5625,5,75,824,0.14846846846846848,sparse
FloydWarshall_Classic,all_pairs,373.5393999959342,80.578125,10000,1,100,1481,0.1495959595959596,sparse
FloydWarshall_Classic,all_pairs,283.1108999962453,80.3828125,10000,2,100,1481,0.1495959595959596,sparse
FloydWarshall_Classic,all_pairs,284.11939999932656,80.3828125,10000,3,100,1481,0.1495959595959596,sparse
FloydWarshall_Classic,all_pairs,478.57980000117095,80.3828125,10000,4,100,1481,0.1495959595959596,sparse
FloydWarshall_Classic,all_pairs,282.2275999933481,80.3828125,10000,5,100,1481,0.1495959595959596,sparse
FloydWarshall_Optimized,all_pairs,281.57389999978477,80.3125,10000,1,100,1481,0.1495959595959596,sparse
FloydWarshall_Optimized,all_pairs,329.393700005312,80.3359375,10000,2,100,1481,0.1495959595959596,sparse
FloydWarshall_Optimized,all_pairs,365.65759999939473,80.3359375,10000,3,100,1481,0.1495959595959596,sparse
FloydWarshall_Optimized,all_pairs,284.7283000010066,80.3359375,10000,4,100,1481,0.1495959595959596,sparse
FloydWarshall_Optimized,all_pairs,273.6196000041673,80.3359375,10000,5,100,1481,0.1495959595959596,sparse
FloydWarshall_Classic,all_pairs,935.4024999993271,125.828125,15625,1,125,2337,0.1507741935483871,sparse
FloydWarshall_Classic,all_pairs,650.7901000004495,125.8515625,15625,2,125,2337,0.1507741935483871,sparse
FloydWarshall_Classic,all_pairs,556.2208999981522,125.8515625,15625,3,125,2337,0.1507741935483871,sparse
FloydWarshall_Classic,all_pairs,830.0766000029398,125.8515625,15625,4,125,2337,0.1507741935483871,sparse
FloydWarshall_Classic,all_pairs,547.1954000022379,125.8515625,15625,5,125,2337,0.1507741935483871,sparse
FloydWarshall_Optimized,all_pairs,710.8780999988085,125.78125,15625,1,125,2337,0.1507741935483871,sparse
FloydWarshall_Optimized,all_pairs,525.1121999972383,125.8046875,15625,2,125,2337,0.1507741935483871,sparse
FloydWarshall_Optimized,all_pairs,774.1714000003412,125.8046875,15625,3,125,2337,0.1507741935483871,sparse
FloydWarshall_Optimized,all_pairs,625.740900002711,125.8046875,15625,4,125,2337,0.1507741935483871,sparse
FloydWarshall_Optimized,all_pairs,593.6729000022751,125.8046875,15625,5,125,2337,0.1507741935483871,sparse
FloydWarshall_Classic,all_pairs,6.662899999355432,5.3203125,625,1,25,219,0.365,medium
FloydWarshall_Classic,all_pairs,6.606599999940954,5.34375,625,2,25,219,0.365,medium
FloydWarshall_Classic,all_pairs,6.586999996216036,5.34375,625,3,25,219,0.365,medium
FloydWarshall_Classic,all_pairs,6.571700003405567,5.34375,625,4,25,219,0.365,medium
FloydWarshall_Classic,all_pairs,6.8069999979343265,5.34375,625,5,25,219,0.365,medium
FloydWarshall_Optimized,all_pairs,5.8139000029768795,5.2734375,625,1,25,219,0.365,medium
FloydWarshall_Optimized,all_pairs,5.92049999977462,5.296875,625,2,25,219,0.365,medium
FloydWarshall_Optimized,all_pairs,5.737100000260398,5.296875,625,3,25,219,0.365,medium
FloydWarshall_Optimized,all_pairs,5.714999999327119,5.296875,625,4,25,219,0.365,medium
FloydWarshall_Optimized,all_pairs,5.869300002814271,5.296875,625,5,25,219,0.365,medium
FloydWarshall_Classic,all_pairs,35.73700000561075,20.125,2500,1,50,833,0.34,medium
FloydWarshall_Classic,all_pairs,35.79439999884926,20.1484375,2500,2,50,833,0.34,medium
FloydWarshall_Classic,all_pairs,36.32089999882737,20.1484375,2500,3,50,833,0.34,medium
FloydWarshall_Classic,all_pairs,37.64719999890076,20.1484375,2500,4,50,833,0.34,medium
FloydWarshall_Classic,all_pairs,36.4835000000312,20.1484375,2500,5,50,833,0.34,medium
FloydWarshall_Optimized,all_pairs,43.52610000205459,20.078125,2500,1,50,833,0.34,medium
FloydWarshall_Optimized,all_pairs,43.8265999982832,20.1015625,2500,2,50,833,0.34,medium
FloydWarshall_Optimized,all_pairs,47.92750000342494,20.1015625,2500,3,50,833,0.34,medium
FloydWarshall_Optimized,all_pairs,87.84169999853475,20.1015625,2500,4,50,833,0.34,medium
FloydWarshall_Optimized,all_pairs,67.05949999741279,20.1015625,2500,5,50,833,0.34,medium
FloydWarshall_Classic,all_pairs,216.34769999946002,46.1484375,5625,1,75,1957,0.3526126126126126,medium
FloydWarshall_Classic,all_pairs,118.73429999832297,44.75,5625,2,75,1957,0.3526126126126126,medium
FloydWarshall_Classic,all_pairs,112.48650000197813,44.75,5625,3,75,1957,0.3526126126126126,medium
FloydWarshall_Classic,all_pairs,112.15780000202358,44.75,5625,4,75,1957,0.3526126126126126,medium
FloydWarshall_Classic,all_pairs,113.62699999881443,44.75,5625,5,75,1957,0.3526126126126126,medium
FloydWarshall_Optimized,all_pairs,126.6299999988405,44.6796875,5625,1,75,1957,0.3526126126126126,medium
FloydWarshall_Optimized,all_pairs,125.50320000445936,44.703125,5625,2,75,1957,0.3526126126126126,medium
FloydWarshall_Optimized,all_pairs,196.30090000282507,44.703125,5625,3,75,1957,0.3526126126126126,medium
FloydWarshall_Optimized,all_pairs,151.53219999774592,44.703125,5625,4,75,1957,0.3526126126126126,medium
FloydWarshall_Optimized,all_pairs,169.87840000365395,44.703125,5625,5,75,1957,0.3526126126126126,medium
FloydWarshall_Classic,all_pairs,236.2714999981108,80.578125,10000,1,100,3498,0.35333333333333333,medium
FloydWarshall_Classic,all_pairs,239.58800000400515,80.3828125,10000,2,100,3498,0.35333333333333333,medium
FloydWarshall_Classic,all_pairs,271.0929999957443,80.3828125,10000,3,100,3498,0.35333333333333333,medium
