        graph_type     algorithm  nodes  median_time_ms  median_memory_kb  median_vertices_visited    edges  density_percent  success_rate
       grid_planar DFS_Optimized    200          0.4943         11.726562                    200.0    371.0             1.86           1.0
       grid_planar DFS_Optimized    500          2.7018         45.296875                    500.0    955.0             0.77           1.0
       grid_planar DFS_Optimized   1000          4.8475         48.789062                   1000.0   1936.0             0.39           1.0
      simple_graph BFS_Optimized     10          0.0306          1.968750                     10.0      7.0            15.56           1.0
      simple_graph BFS_Optimized     50          0.1705          3.804688                     50.0    196.0            16.00           1.0
      simple_graph BFS_Optimized    100          0.2389         11.914062                    100.0    724.0            14.63           1.0
      simple_graph BFS_Optimized    200          0.7215         12.382812                    200.0   2973.0            14.94           1.0
      simple_graph BFS_Optimized    500          4.1886         43.398438                    500.0  18850.0            15.11           1.0
      simple_graph BFS_Optimized   1000         18.1517         49.601562                   1000.0  74463.0            14.91           1.0
      simple_graph DFS_Optimized     10          0.0368          1.289062                     10.0      7.0            15.56           1.0
      simple_graph DFS_Optimized     50          0.2042          4.351562                     50.0    196.0            16.00           1.0
      simple_graph DFS_Optimized    100          0.7310         16.328125                    100.0    724.0            14.63           1.0
      simple_graph DFS_Optimized    200          0.9522         32.695312                    200.0   2973.0            14.94           1.0
      simple_graph DFS_Optimized    500          8.0877        186.757812                    500.0  18850.0            15.11           1.0
      simple_graph DFS_Optimized   1000         39.0517        659.132812                   1000.0  74463.0            14.91           1.0
     strip_weights BFS_Optimized     10          0.0247          1.898438                     10.0     15.0            33.33           1.0
     strip_weights BFS_Optimized     50          0.0995          3.804688                     50.0    354.0            28.90           1.0
     strip_weights BFS_Optimized    100          0.4552         11.851562                    100.0   1487.0            30.04           1.0
     strip_weights BFS_Optimized    200          0.6177         12.382812                    200.0   5905.0            29.67           1.0
     strip_weights BFS_Optimized    500          7.8956         43.367188                    500.0  37517.0            30.07           1.0
     strip_weights BFS_Optimized   1000         24.3762         49.601562                   1000.0 149928.0            30.02           1.0
     strip_weights DFS_Optimized     10          0.0366          1.289062                     10.0     15.0            33.33           1.0
     strip_weights DFS_Optimized     50          0.4217          5.414062                     50.0    354.0            28.90           1.0
     strip_weights DFS_Optimized    100          1.0389         22.046875                    100.0   1487.0            30.04           1.0
     strip_weights DFS_Optimized    200          1.7786         56.164062                    200.0   5905.0            29.67           1.0
