        graph_type algorithm  nodes  median_time_ms  median_memory_kb  median_vertices_visited   edges  density_percent  success_rate
    weighted_graph  BFS_Base     10          0.0552          0.601562                     10.0    15.0            33.33           1.0
    weighted_graph  BFS_Base     50          0.5030          1.289062                     50.0   370.0            30.20           1.0
    weighted_graph  BFS_Base    100          2.0757          2.382812                    100.0  1428.0            28.85           1.0
    weighted_graph  BFS_Base    200         21.8020          4.289062                    200.0  5833.0            29.31           1.0
    weighted_graph  DFS_Base     10          0.0387          0.703125                     10.0    15.0            33.33           1.0
    weighted_graph  DFS_Base     50          0.5121          3.953125                     50.0   370.0            30.20           1.0
    weighted_graph  DFS_Base    100          4.2515         13.046875                    100.0  1428.0            28.85           1.0
    weighted_graph  DFS_Base    200         43.0530         49.515625                    200.0  5833.0            29.31           1.0
       wheel_graph  BFS_Base     10          0.0550          0.601562                     10.0    18.0            40.00           1.0
       wheel_graph  BFS_Base     50          0.1190          1.320312                     50.0    98.0             8.00           1.0
       wheel_graph  BFS_Base    100          0.6299          2.414062                    100.0   198.0             4.00           1.0
       wheel_graph  BFS_Base    200          2.0293          4.289062                    200.0   398.0             2.00           1.0
       wheel_graph  DFS_Base     10          0.0844          0.765625                     10.0    18.0            40.00           1.0
       wheel_graph  DFS_Base     50          0.1854          1.609375                     50.0    98.0             8.00           1.0
       wheel_graph  DFS_Base    100          0.9363          2.921875                    100.0   198.0             4.00           1.0
       wheel_graph  DFS_Base    200          1.9504          5.078125                    200.0   398.0             2.00           1.0
