graph_type,algorithm,nodes,median_time_ms,median_memory_kb,median_vertices_visited,edges,density_percent,success_rate
density_fill,BFS_Base,10,0.029000002541579306,0.6015625,10.0,22.0,50.0,1.0
density_fill,BFS_Base,50,0.28759999986505136,1.3203125,50.0,612.0,50.0,1.0
density_fill,BFS_Base,100,2.7498999988893047,2.4140625,100.0,2475.0,50.0,1.0
density_fill,BFS_Base,200,35.75989999808371,4.2890625,200.0,9950.0,50.0,1.0
density_fill,DFS_Base,10,0.04400000034365803,0.765625,10.0,22.0,50.0,1.0
density_fill,DFS_Base,50,0.4533000028459355,6.453125,50.0,612.0,50.0,1.0
density_fill,DFS_Base,100,4.741600001580082,22.078125,100.0,2475.0,50.0,1.0
density_fill,DFS_Base,200,30.20749999996042,86.640625,200.0,9950.0,50.0,1.0
