graph_type,algorithm,nodes,median_time_ms,median_memory_kb,median_vertices_visited,edges,density_percent,success_rate
grid_planar,BFS_Optimized,200,0.26359999901615083,12.3828125,200.0,371.0,1.86,1.0
grid_planar,BFS_Optimized,500,1.3835999998264015,44.1953125,500.0,955.0,0.77,1.0
grid_planar,BFS_Optimized,1000,1.679699998931028,44.1953125,1000.0,1936.0,0.39,1.0
grid_planar,DFS_Optimized,10,0.037500001781154424,1.2890625,10.0,13.0,28.89,1.0
grid_planar,DFS_Optimized,50,0.14969999756431207,3.359375,50.0,85.0,6.94,1.0
grid_planar,DFS_Optimized,100,0.26870000147027895,11.671875,100.0,180.0,3.64,1.0
grid_planar,DFS_Optimized,200,0.4943000021739863,11.7265625,200.0,371.0,1.86,1.0
grid_planar,DFS_Optimized,500,2.701800003706012,45.296875,500.0,955.0,0.77,1.0
grid_planar,DFS_Optimized,1000,4.847500000323635,48.7890625,1000.0,1936.0,0.39,1.0
simple_graph,BFS_Optimized,10,0.03060000017285347,1.96875,10.0,7.0,15.56,1.0
simple_graph,BFS_Optimized,50,0.17049999587470666,3.8046875,50.0,196.0,16.0,1.0
simple_graph,BFS_Optimized,100,0.23890000011306256,11.9140625,100.0,724.0,14.63,1.0
simple_graph,BFS_Optimized,200,0.7214999932330102,12.3828125,200.0,2973.0,14.94,1.0
simple_graph,BFS_Optimized,500,4.188599996268749,43.3984375,500.0,18850.0,15.11,1.0
simple_graph,BFS_Optimized,1000,18.151700001908466,49.6015625,1000.0,74463.0,14.91,1.0
simple_graph,DFS_Optimized,10,0.036799996451009065,1.2890625,10.0,7.0,15.56,1.0
simple_graph,DFS_Optimized,50,0.20419999782461673,4.3515625,50.0,196.0,16.0,1.0
simple_graph,DFS_Optimized,100,0.7310000000870787,16.328125,100.0,724.0,14.63,1.0
simple_graph,DFS_Optimized,200,0.9522000036668032,32.6953125,200.0,2973.0,14.94,1.0
simple_graph,DFS_Optimized,500,8.087700000032783,186.7578125,500.0,18850.0,15.11,1.0
simple_graph,DFS_Optimized,1000,39.051699997799005,659.1328125,1000.0,74463.0,14.91,1.0
strip_weights,BFS_Optimized,10,0.024700006179045886,1.8984375,10.0,15.0,33.33,1.0
strip_weights,BFS_Optimized,50,0.09950000094249845,3.8046875,50.0,354.0,28.9,1.0
strip_weights,BFS_Optimized,100,0.4552000027615577,11.8515625,100.0,1487.0,30.04,1.0
strip_weights,BFS_Optimized,200,0.6177000032039359,12.3828125,200.0,5905.0,29.67,1.0
strip_weights,BFS_Optimized,500,7.895599999756087,43.3671875,500.0,37517.0,30.07,1.0
strip_weights,BFS_Optimized,1000,24.37620000273455,49.6015625,1000.0,149928.0,30.02,1.0
strip_weights,DFS_Optimized,10,0.036600002204068005,1.2890625,10.0,15.0,33.33,1.0
strip_weights,DFS_Optimized,50,0.4217000023345463,5.4140625,50.0,354.0,28.9,1.0
strip_weights,DFS_Optimized,100,1.038899994455278,22.046875,100.0,1487.0,30.04,1.0
strip_weights,DFS_Optimized,200,1.778600002580788,56.1640625,200.0,5905.0,29.67,1.0
strip_weights,DFS_Optimized,500,30.392600005143322,341.3203125,500.0,37517.0,30.07,1.0
strip_weights,DFS_Optimized,1000,80.30210000288207,1294.2265625,1000.0,149928.0,30.02,1.0
tree,BFS_Optimized,10,0.023399996280204505,1.8984375,10.0,9.0,20.0,1.0
tree,BFS_Optimized,50,0.13939999917056412,3.8046875,50.0,49.0,4.0,1.0
tree,BFS_Optimized,100,0.13220000255387276,12.2890625,100.0,99.0,2.0,1.0
tree,BFS_Optimized,200,0.24330000451300293,12.0390625,200.0,199.0,1.0,1.0
tree,BFS_Optimized,500,1.2128000016673468,44.1171875,500.0,499.0,0.4,1.0
tree,BFS_Optimized,1000,2.2001000033924356,44.1640625,1000.0,999.0,0.2,1.0
tree,DFS_Optimized,10,0.033899996196851134,1.2578125,10.0,9.0,20.0,1.0
tree,DFS_Optimized,50,0.2705000006244518,3.265625,50.0,49.0,4.0,1.0
tree,DFS_Optimized,100,0.24629999825265259,11.203125,100.0,99.0,2.0,1.0
tree,DFS_Optimized,200,0.45929999760119244,11.296875,200.0,199.0,1.0,1.0
tree,DFS_Optimized,500,1.8541999961598776,43.109375,500.0,499.0,0.4,1.0
tree,DFS_Optimized,1000,4.1218999976990744,43.046875,1000.0,999.0,0.2,1.0
weighted_graph,BFS_Optimized,10,0.027499998395796865,1.96875,10.0,16.0,35.56,1.0
weighted_graph,BFS_Optimized,50,0.1827000014600344,3.8046875,50.0,380.0,31.02,1.0
weighted_graph,BFS_Optimized,100,0.5173000026843511,11.8203125,100.0,1505.0,30.4,1.0
weighted_graph,BFS_Optimized,200,0.7845000000088476,12.3828125,200.0,6105.0,30.68,1.0
weighted_graph,BFS_Optimized,500,5.846000000019558,43.3671875,500.0,37262.0,29.87,1.0
weighted_graph,BFS_Optimized,1000,17.24629999807803,49.6015625,1000.0,149207.0,29.87,1.0
weighted_graph,DFS_Optimized,10,0.03850000211969018,1.3515625,10.0,16.0,35.56,1.0
weighted_graph,DFS_Optimized,50,0.28020000172546133,5.7578125,50.0,380.0,31.02,1.0
weighted_graph,DFS_Optimized,100,1.1484999995445833,22.046875,100.0,1505.0,30.4,1.0
weighted_graph,DFS_Optimized,200,1.7405999969923869,61.9453125,200.0,6105.0,30.68,1.0
weighted_graph,DFS_Optimized,500,28.40260000084527,341.3203125,500.0,37262.0,29.87,1.0
weighted_graph,DFS_Optimized,1000,66.76680000236956,1294.2265625,1000.0,149207.0,29.87,1.0
wheel_graph,BFS_Optimized,10,0.0242000023717992,1.8984375,10.0,18.0,40.0,1.0
wheel_graph,BFS_Optimized,50,0.07360000017797574,3.8046875,50.0,98.0,8.0,1.0
wheel_graph,BFS_Optimized,100,0.5594000031123869,11.8203125,100.0,198.0,4.0,1.0
wheel_graph,BFS_Optimized,200,0.298099999781698,12.3828125,200.0,398.0,2.0,1.0
wheel_graph,BFS_Optimized,500,1.4947000017855316,43.3671875,500.0,998.0,0.8,1.0
wheel_graph,BFS_Optimized,1000,1.2530000021797605,49.6015625,1000.0,1998.0,0.4,1.0
wheel_graph,DFS_Optimized,10,0.0377000033040531,1.3515625,10.0,18.0,40.0,1.0
wheel_graph,DFS_Optimized,50,0.27240000054007396,3.578125,50.0,98.0,8.0,1.0
wheel_graph,DFS_Optimized,100,0.5714999933843501,11.921875,100.0,198.0,4.0,1.0
wheel_graph,DFS_Optimized,200,0.48999999853549525,12.640625,200.0,398.0,2.0,1.0
wheel_graph,DFS_Optimized,500,2.659599995240569,46.953125,500.0,998.0,0.8,1.0
wheel_graph,DFS_Optimized,1000,4.988300002878532,51.484375,1000.0,1998.0,0.4,1.0
