nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
294,11.921875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875
304,11.921875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875,13.46875
314,43.921875,43.5625,43.375,43.25,43.1875,43.1875,43.1875,43.1875,43.125,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
324,44.4375,43.46875,43.25,43.25,43.1875,43.1875,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
334,43.921875,43.375,43.25,43.1875,43.1875,43.1875,43.125,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
344,44.4375,43.375,43.25,43.1875,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
354,43.609375,43.375,43.25,43.1875,43.1875,43.125,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
364,44.125,43.375,43.1875,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
374,43.84375,43.3125,43.1875,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
385,44.125,43.3125,43.1875,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
395,44.125,43.3125,43.1875,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
405,44.125,43.3125,43.1875,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
415,44.125,43.3125,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
425,43.84375,43.25,43.1875,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
435,43.84375,43.25,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
445,43.84375,43.25,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
455,43.84375,43.25,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
465,43.84375,43.25,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
475,43.84375,43.25,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
485,43.84375,43.25,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
495,43.84375,43.25,43.1875,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
506,43.84375,43.25,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
516,44.125,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
526,43.59375,43.25,43.125,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
536,43.84375,43.1875,43.1875,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
546,43.59375,43.25,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
556,43.59375,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
566,43.59375,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
576,43.59375,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
586,43.59375,43.1875,43.125,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
596,43.84375,43.1875,43.125,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375,43.09375
