nodes,density_percent,BFS,DFS_Iterative,speed_ratio_dfs_over_bfs
2,0,0.0130999997054459,0.00755000019125865,0.5763359054214315
2,5,0.0139500002660497,0.015099999927770051,1.0824372501640105
2,10,0.0067999999373569,0.014149999969959,2.08088236769293
2,15,0.00690000024405885,0.01495000060458545,2.166666677650909
2,20,0.01414999996995895,0.0147999999171588,1.045936392125783
2,25,0.0139500002660497,0.00745000033930405,0.5340501933491152
2,30,0.0103999996099446,0.008500000149069799,0.8173077372947207
2,35,0.014000000192027049,0.007600000117236,0.5428571437851961
2,40,0.00765000004321335,0.01444999998057025,1.8888888756790894
2,45,0.014000000192027049,0.0073999999585794,0.5285714183628136
2,50,0.0141000000439817,0.00724999972590005,0.5141843761195282
2,55,0.009350000254926199,0.015249999705702049,1.6310159668356523
2,60,0.00869999985297905,0.01505000000179275,1.7298850869105862
2,65,0.014600000213249548,0.00755000019125865,0.5171232932179686
2,70,0.013350000244827149,0.0149000002238608,1.1161048652140844
2,75,0.0135999998747138,0.0075499997365113,0.5551470445634973
2,80,0.0068999997893115,0.0073000001066247,1.057971062250295
2,85,0.00715000032869275,0.00735000003260205,1.0279719852748408
2,90,0.0141999998959363,0.0076000005719834,0.5352113118084133
2,95,0.0067999999373569,0.01505000000179275,2.213235314770099
2,100,0.0069000006988062,0.0089500003923603,1.2971013747735967
12,0,0.0380500000574102,0.0329999998029961,0.8672798883891035
12,5,0.020150000182184102,0.03665000031105585,1.8188585597860414
12,10,0.01985000017157285,0.0353000004906789,1.7783375408344815
12,15,0.0402000000576663,0.0344999998560524,0.8582089504120065
12,20,0.02085000005536125,0.0651000000289059,3.122302151369369
12,25,0.037750000046798945,0.035999999909108654,0.9536423805160053
12,30,0.034150000374211203,0.07830000049580114,2.292825758061495
12,35,0.020899999981338548,0.03844999991997605,1.8397129164740558
12,40,0.0386000001526554,0.03879999985656465,1.005181339459023
12,45,0.0283999997918726,0.0406500007557042,1.431338065267777
12,50,0.02135000022462915,0.040249999528896255,1.8852458597384112
12,55,0.0218499999391497,0.04075000015291145,1.864988570544465
12,60,0.0216500002352404,0.07529999993494124,3.4780600053931185
12,65,0.0235499996961152,0.04444999967745385,1.8874734713812462
12,70,0.022600000193051452,0.0433999994129408,1.9203539399209595
12,75,0.0222999997276929,0.04364999995232205,1.9573991249029474
12,80,0.0234499998441606,0.044750000142812454,1.9083155838039747
12,85,0.0230499999815947,0.0444999996034312,1.930585667634022
12,90,0.024050000320130452,0.08739999975659879,3.6340955756014193
12,95,0.024000000394153148,0.04725000007965715,1.9687499709861729
12,100,0.04430000035426925,0.047850000100879655,1.0801354338198845
22,0,0.03385000036359995,0.09670000008554774,2.8567207990205086
22,5,0.03264999986640755,0.10380000003351594,3.1791730615077936
22,10,0.033150000035675406,0.06075000010241635,1.8325791866376575
22,15,0.03490000017336565,0.06464999978561535,1.8524355147411653
