nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
2,0.00755000019125865,0.015099999927770051,0.014149999969959,0.01495000060458545,0.0147999999171588,0.00745000033930405,0.008500000149069799,0.007600000117236,0.01444999998057025,0.0073999999585794,0.00724999972590005,0.015249999705702049,0.01505000000179275,0.00755000019125865,0.0149000002238608,0.0075499997365113,0.0073000001066247,0.00735000003260205,0.0076000005719834,0.01505000000179275,0.0089500003923603
12,0.0329999998029961,0.03665000031105585,0.0353000004906789,0.0344999998560524,0.0651000000289059,0.035999999909108654,0.07830000049580114,0.03844999991997605,0.03879999985656465,0.0406500007557042,0.040249999528896255,0.04075000015291145,0.07529999993494124,0.04444999967745385,0.0433999994129408,0.04364999995232205,0.044750000142812454,0.0444999996034312,0.08739999975659879,0.04725000007965715,0.047850000100879655
22,0.09670000008554774,0.10380000003351594,0.06075000010241635,0.06464999978561535,0.0663000000713509,0.06890000031489756,0.07525000000896395,0.0757000002522545,0.08019999950192865,0.13970000009067005,0.08334999938597315,0.0869999998940329,0.0898999996934435,0.10075000045617341,0.09530000033919345,0.0985000001492153,0.0978000007307855,0.0987499997791019,0.10364999980083664,0.1054499994097568,0.1131000003624649
32,0.0771499999245861,0.0825500005703361,0.088150000465248,0.09659999977884576,0.103549999948882,0.1108500000555068,0.1130000000557629,0.1183500003207882,0.1573500003360095,0.1289500000893895,0.13415000012173545,0.1398999997945793,0.1481999997849925,0.15255000016622938,0.1512499998170824,0.15645000030417575,0.16084999970189523,0.16569999979765265,0.17190000016853446,0.1763999998729559,0.2291000005243404
42,0.1025500000650936,0.1099000000976957,0.1253000000360771,0.1344500001323467,0.14384999985850294,0.1515499998276936,0.15874999962761643,0.1697500001682783,0.1735000005282927,0.1831999993555655,0.1934499996423255,0.20229999972798396,0.20679999988715275,0.2138499999091436,0.22524999985762406,0.23805000000720605,0.24609999991298537,0.24980000034702238,0.2573999995547638,0.2621999997245439,0.2662499996404222
52,0.119000000267988,0.1382999998895684,0.1606500004527333,0.1678999997238861,0.1911500003188848,0.19689999999172864,0.213750000057189,0.22390000003724705,0.296649999654619,0.24194999969040504,0.26834999971470097,0.4883000001427717,0.3101000002061482,0.314899999921181,0.30705000017405837,0.3131500002382381,0.33210000037797727,0.34190000042144675,0.34899999991466757,0.36050000016984995,0.37269999984346214
62,0.14454999973168015,0.166949999766075,0.1865499993982666,0.2062500002466549,0.22565000017493725,0.2485499999238527,0.25860000005195616,0.28000000020256266,0.30014999992999947,0.3152999997837469,0.3373500003363006,0.34819999973478843,0.3578000000743486,0.38144999962241855,0.3948999997192004,0.40720000015426194,0.42510000002948795,0.4423500004122616,0.46989999964353046,0.46759999986534234,0.49545000001671724
72,0.1640000000406871,0.19414999997025,0.22939999962545693,0.2537999994274287,0.27975000057267607,0.34089999962816364,0.38700000004610047,0.34849999974539964,0.3687000003083085,0.38610000001426664,0.40824999996402767,0.4346999994595535,0.48140000035346014,0.47629999971832143,0.5108499999550986,0.5299499998727697,0.5465999997795734,0.5733000002692279,0.5902000002606655,0.6163499997455801,0.6366000002344663
82,0.18535000026531628,0.2325499995095015,0.27134999982081354,0.30459999970844365,0.32849999979589484,0.3519500000948028,0.390100000458915,0.4114999997000268,0.4735999996228202,0.4750000002786692,0.521049999861134,0.5363999994187907,0.5623499996545434,0.5807999996250146,0.6078500000512577,0.64544999941063,0.6755999997949402,0.6978000001254259,0.7316499995795311,0.7551499998044164,0.7886499997766805
92,0.20644999995056418,0.26614999978846754,0.30160000005707843,0.3380499997547304,0.37689999999201973,0.41019999980562716,0.4524999999375723,0.4868500004704401,0.5181500005164708,0.5639000000883243,0.5968000000393658,0.6425999995371967,0.6627500001741282,0.7037999998829036,0.7294499996532977,0.7770499996695435,0.8069000000432425,0.8407000000261178,0.8785499999248714,0.9429500005353476,0.9768999998414074
102,0.23559999999633868,0.2890500004468777,0.342100000125356,0.3953999998884683,0.4323999996813654,0.4971499997736828,0.5268499994599551,0.5762500004493631,0.8261999996648228,0.6709000003866095,0.6978999999773805,0.9757499992701923,0.7933499996397586,0.8355499999197491,0.8673000002090703,0.9184999998979038,0.9508499997537001,1.0139999994862592,1.0502499999347492,1.0848500000975037,1.2276000002202636
112,0.2504499998394749,0.32394999971074867,0.3859500006910821,0.44809999963035807,0.4973499999323394,0.6143500004327507,0.6180000000313157,0.6607999998777814,0.7122500001059962,0.7555500001217297,0.8288500002890942,0.8808999996290368,0.916399999823625,0.9758000001056644,1.02409999954034,1.0841499997695792,1.1398999995435588,1.189650000014808,1.2780999995811726,1.4516999995066726,1.3566000002356304
122,0.28364999980112765,0.36645000045609777,0.43055000014646794,0.5193500001041684,0.5715500001315377,0.6389499994838843,0.6829499998275423,1.0369500000706466,1.81155000018407,0.8936500003073888,0.9215000000040162,1.0041000005003298,1.0570500007816008,1.1069500001212873,1.1876999997184612,1.2570500002766494,1.296149999689078,1.3736000000790227,1.479150000250229,1.5463500003534136,1.6530999996575702
133,0.37019999990661745,0.4271500001777895,0.4908500004603411,0.5722999999306921,0.641549999727431,0.7252000000335102,0.8044499995776278,2.4747500001467415,1.4769999997952254,1.0094999997818377,1.0827500004779722,1.1482499994599493,1.250249999884545,1.3667000002897112,1.4040999999451742,1.4568499996130413,1.5423000004375353,1.59445000008418,1.7497499998171406,1.8292999998266168,1.9389999997656557
143,0.32625000039843144,0.4361500000413798,0.52624999989348,0.6162999998196028,1.1850500000036845,2.4377999998250743,1.0839999999916472,0.99019999970551,1.0545000004640315,1.142800000252464,1.2609999998858257,1.335200000085024,1.401149999765039,1.487900000029185,1.6399500000261469,1.8999500002792047,1.7791500004022964,1.9031499996344787,2.199949999976525,2.141699999810953,4.402349999963917
153,0.3430500005379144,0.45950000048833317,0.5649000004268601,0.7248500000969216,0.8065499996519065,0.9017999996103754,0.9950500002560148,1.1075999996137398,1.1863999998240615,1.310399999965739,1.3810499995088321,1.5584500006298185,1.601949999894714,1.715899999908288,1.7986500001825334,1.9630500000857865,2.4659999999130378,2.1434999998746207,4.513549999501265,2.3214000002553803,2.4820500002533663
163,0.37400000019260915,0.5071000000498316,0.6382499996107072,0.762000000122498,0.869449999754579,0.9980999998333573,1.118750000387081,1.2351999998827523,1.323249999586551,1.4510500004689675,1.5355499999714084,1.7232499999408901,1.8954499996652885,2.4019000002226676,2.2587000003113644,2.1899999992456287,2.267399999709596,2.3913000004540663,2.6186499994764745,2.6668999998946674,3.657250000287604
173,0.388699999803066,0.5460000002130982,0.7786500004840491,0.808950000191544,0.9418499998901098,1.8930500000351458,1.4717499998369021,1.3141999997969833,1.487749999796506,1.5989000003173715,1.7284499999732361,1.8787499998325075,2.013450000049488,2.1154499995645892,2.3350500000560714,2.5491500005045964,5.074950000107492,5.847999999787135,2.9416999996101367,3.468599999905564,3.0457499997282866
183,0.4329499997766106,0.5857999999534513,0.7494500000575499,0.9117499998865242,1.0639000001901877,1.271699999961129,1.4874000003146648,1.5478000000257452,1.7436500002077082,3.7415499996313883,2.0829500003856083,3.188650000083726,2.197800000431016,2.414350000435661,2.5389000002178364,2.7841500004797126,2.8158499999335618,4.002300000138348,6.961749999845779,3.4006500000032247,3.3623499998611805
193,0.42355000005045434,0.627500000064174,0.807249999979831,0.9774499999366526,1.1153500004184025,1.2828999997509527,1.4433999999710068,1.5973999998095678,2.401700000064011,1.910550000047806,3.9140500002758927,2.2479499998553365,2.5828999996519997,2.7558499996303,2.819399999680172,2.917650000199501,3.3923999994840415,3.513349999593629,4.1312500002277375,3.659900000457128,3.8098499999250643
203,0.457399999959307,0.6694499998047831,0.8855500004756323,1.0531000002629298,1.2547999999696913,1.5358499995272723,1.6420500001004257,1.7953500000658096,2.2852500001135923,2.1232999997664592,3.0364500003088324,2.5147999999717285,2.723399999922549,2.7881500000148662,3.0377499997484847,3.1973000000107277,3.3398499995200837,3.531899999416055,8.563450000565354,4.122049999750743,4.033200000321813
213,0.4750000002786692,0.7128999995984486,0.9038500002134242,1.1033499999939522,1.2939000002916146,1.515899999958492,1.69484999969427,3.040950000013254,5.360550000204967,2.307650000147987,2.549950000229728,2.8255500001250766,2.9228499997770996,3.463000000010652,3.3608999997341016,3.5854000002473185,9.265199999845208,3.898849999586673,4.019850000531733,4.239549999965675,9.852600000158418
223,0.5999499999234104,0.7559500004390429,1.0128499993697915,1.2016999999104885,1.5073999998094223,1.6736500001570676,1.8655000003491293,2.0994499996049854,2.3752500001137378,2.4691499997970823,2.9002500000387954,2.909150000050431,3.303999999388907,5.230350000601902,3.6107500000071013,3.7716500000897213,3.9806499999031075,4.095700000107172,4.3566499998632935,4.953850000219973,4.951250000431173
233,0.5200999994485755,0.7874499997342355,1.0194499996032391,1.2573499998325133,1.506049999534298,1.7392999998264713,1.982499999940046,2.1498999999494117,2.547250000134227,3.8104500004010333,2.8858999999101798,3.179849999924045,3.5898999999517405,3.7020499999016465,3.7796500000695232,4.130949999762379,4.489599999942584,4.929799999445095,4.83280000025843,4.932100000587525,5.420699999831413
243,0.6323500001599314,0.8430000002590532,1.082499999938591,1.4299999998002022,1.6011999996408122,1.8188500002906949,2.2704500006511807,2.469499999733671,2.8084000005037524,2.8038000000378815,3.1720500001028995,3.436299999975745,3.721600000062608,3.93949999988763,4.210799999782466,4.528649999883783,4.723749999811844,4.818149999664456,5.214150000483642,5.468049999763025,5.66229999958523
254,0.571349999972881,0.8939499998632527,5.497850000210747,1.431999999567779,1.7199500002789136,1.991399999951682,2.297050000379386,2.506049999738025,2.911149999818008,3.1639499998163956,3.4153000001424516,3.770800000438612,4.472749999877124,4.15900000007241,4.496750000271277,4.744900000332564,5.16135000043505,5.473899999742571,5.625650000638416,5.805899999813846,6.460600000082195
264,1.2234999999236607,1.0947000000669505,1.4446999998654064,1.5691000003243971,1.8282999999428284,2.136199999767996,2.41825000011886,2.8383499998199113,3.144399999655434,3.394299999854411,3.796150000198395,4.482699999698525,4.636499999833177,4.79670000004262,5.0487000003158755,5.397599999923841,9.25199999983306,5.98935000016354,6.296950000432844,6.5405999998802145,6.9264999997358245
274,0.6212499997673149,1.0195000004387111,1.3272999999571766,1.6686000003574009,2.008500000101776,2.427800000532443,3.7861000000702916,3.102099999978236,3.408150000268506,3.7517000000661938,4.293399999824032,4.429000000072847,4.822849999982282,12.62520000045697,5.5176499995468475,5.721399999856658,6.162849999782338,10.772549999728653,6.805649999932939,7.6796500002274115,7.437750000008236
284,0.6182499996612023,1.0812499999701686,1.4111500004219124,1.7932499999915308,2.1692000000257394,2.5449499999012914,2.9740999998466577,9.593250000307307,3.5904999999729625,4.049749999467167,4.503749999912543,4.720900000393158,5.209699999795703,5.65744999994422,5.980000000363361,6.44540000030247,6.783699999687087,7.298200000150246,7.601249999879656,8.752900000217778,8.572949999688717
294,0.6525499993585981,3.3269999998992716,1.8003999998654765,2.0273999998607906,2.3119500001484994,2.748149999661109,3.1987500001378066,3.505049999603216,4.032949999782431,4.610649999904126,9.18050000018411,5.190500000026077,5.6735500002105255,6.204349999734404,6.567049999830488,6.9874499999968975,7.430050000039046,7.87350000018705,8.07859999986249,8.911449999686738,8.878099999947153
