algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
BFS_Base,0.024500004656147212,0.6015625,10,True,5,10,10,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
DFS_Base,0.046099994506221265,0.8125,10,True,1,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
DFS_Base,0.03680000372696668,0.703125,10,True,2,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
DFS_Base,0.035599994589574635,0.703125,10,True,3,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
DFS_Base,0.035700002626981586,0.703125,10,True,4,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
DFS_Base,0.034500000765547156,0.703125,10,True,5,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
BFS_Base,0.027800000680144876,0.6328125,10,True,1,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
BFS_Base,0.0259000007645227,0.6328125,10,True,2,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
BFS_Base,0.024499997380189598,0.6328125,10,True,3,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
BFS_Base,0.025699999241624027,0.6328125,10,True,4,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
BFS_Base,0.02460000541759655,0.6328125,10,True,5,10,9,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=9; fill=20.00%,20.0
DFS_Base,0.37009999505244195,0.953125,10,True,1,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Base,1.2825000012526289,0.953125,10,True,2,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Base,0.06910000229254365,0.953125,10,True,3,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Base,0.05190000229049474,0.953125,10,True,4,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Base,0.05029999738326296,0.953125,10,True,5,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Base,0.037500001781154424,0.6015625,10,True,1,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Base,0.03290000313427299,0.6015625,10,True,2,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Base,0.03159999323543161,0.6015625,10,True,3,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Base,2.9118000020389445,0.6015625,10,True,4,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Base,0.07279999408638105,0.6015625,10,True,5,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Base,0.10109999857377261,0.765625,10,True,1,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Base,0.08439999510301277,0.765625,10,True,2,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Base,0.0788000033935532,0.765625,10,True,3,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Base,0.07700000423938036,0.765625,10,True,4,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Base,0.09529999806545675,0.765625,10,True,5,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Base,0.06450000364566222,0.6015625,10,True,1,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Base,0.059600002714432776,0.6015625,10,True,2,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Base,0.05499999679159373,0.6015625,10,True,3,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Base,0.05339999916031957,0.6015625,10,True,4,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Base,0.055000004067551345,0.6015625,10,True,5,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Base,0.07879999611759558,0.703125,10,True,1,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Base,0.07429999823216349,0.703125,10,True,2,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Base,0.07270000060088933,0.703125,10,True,3,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Base,0.08199999865610152,0.703125,10,True,4,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Base,0.07400000322377309,0.703125,10,True,5,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Base,0.05319999763742089,0.6015625,10,True,1,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Base,1.7319000035058707,0.6015625,10,True,2,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Base,0.053499999921768904,0.6015625,10,True,3,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Base,0.07990000449353829,0.6015625,10,True,4,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Base,0.027399997634347528,0.6015625,10,True,5,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Base,0.04919999628327787,0.703125,10,True,1,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Base,0.040599996282253414,0.703125,10,True,2,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Base,0.038700003642588854,0.703125,10,True,3,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Base,0.03740000101970509,0.703125,10,True,4,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Base,0.03809999907389283,0.703125,10,True,5,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Base,0.7845000000088476,0.6015625,10,True,1,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Base,0.055199998314492404,0.6015625,10,True,2,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Base,0.02939999831141904,0.6015625,10,True,3,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Base,0.6611999997403473,0.6015625,10,True,4,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Base,0.03210000431863591,0.6015625,10,True,5,10,15,weighted_graph,weighted_graph; connected; medium; weighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Base,0.053800002206116915,0.703125,10,True,1,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
DFS_Base,0.04320000152802095,0.703125,10,True,2,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
DFS_Base,0.04649999755201861,0.703125,10,True,3,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
DFS_Base,0.4023000001325272,0.703125,10,True,4,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
DFS_Base,0.04430000262800604,0.703125,10,True,5,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
BFS_Base,0.031600000511389226,0.6640625,10,True,1,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
BFS_Base,0.13980000221636146,0.6640625,10,True,2,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
BFS_Base,0.04980000085197389,0.6640625,10,True,3,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
BFS_Base,0.029299997549969703,0.6640625,10,True,4,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
BFS_Base,0.21500000002561137,0.6640625,10,True,5,10,14,strip_weights,strip_weights; disconnected; medium; unweighted; undirected; V=10; E=14; fill=31.11%,31.11
DFS_Base,0.05660000169882551,0.734375,10,True,1,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Base,1.288299994484987,0.734375,10,True,2,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Base,0.06440000288421288,0.734375,10,True,3,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Base,0.13100000069243833,0.734375,10,True,4,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Base,0.056200005928985775,0.734375,10,True,5,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Base,0.035099998058285564,0.6640625,10,True,1,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Base,0.03060000017285347,0.6640625,10,True,2,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Base,0.028599999495781958,0.6640625,10,True,3,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Base,0.0335000004270114,0.6640625,10,True,4,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Base,0.028299997211433947,0.6640625,10,True,5,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Base,1.2912000020151027,2.359375,50,True,1,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
DFS_Base,0.8770000058575533,2.359375,50,True,2,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
DFS_Base,0.8673000047565438,2.359375,50,True,3,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
DFS_Base,1.071799997589551,2.359375,50,True,4,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
DFS_Base,0.7151000027079135,2.359375,50,True,5,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
BFS_Base,0.4202999989502132,1.2890625,50,True,1,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
BFS_Base,0.3321999975014478,1.2890625,50,True,2,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
BFS_Base,4.625800000212621,1.2890625,50,True,3,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
BFS_Base,0.49190000572707504,1.2890625,50,True,4,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
BFS_Base,0.6047999995644204,1.2890625,50,True,5,50,186,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=186; fill=15.18%,15.18
DFS_Base,1.5102999968803488,7.921875,50,True,1,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
DFS_Base,5.451400000310969,7.921875,50,True,2,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
DFS_Base,1.9193999978597276,7.921875,50,True,3,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
DFS_Base,4.344200002378784,7.921875,50,True,4,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
DFS_Base,4.876400002103765,7.921875,50,True,5,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
BFS_Base,0.48919999971985817,1.3203125,50,True,1,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
BFS_Base,1.490199996624142,1.3203125,50,True,2,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
BFS_Base,3.153100005874876,1.3203125,50,True,3,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
BFS_Base,0.985200000286568,1.3203125,50,True,4,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
BFS_Base,0.9693999963928945,1.3203125,50,True,5,50,852,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=852; fill=69.55%,69.55
DFS_Base,0.31820000003790483,1.265625,50,True,1,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Base,0.3023999961442314,1.265625,50,True,2,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
