algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
BFS_Optimized,0.02390000008745119,1.8984375,10,True,4,10,10,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
BFS_Optimized,0.024100001610349864,1.8984375,10,True,5,10,10,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
DFS_Optimized,0.044500004150904715,1.34375,10,True,1,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
DFS_Optimized,0.03730000025825575,1.2890625,10,True,2,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
DFS_Optimized,0.03420000575715676,1.2890625,10,True,3,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
DFS_Optimized,0.034199998481199145,1.2890625,10,True,4,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
DFS_Optimized,0.034900003811344504,1.2890625,10,True,5,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
BFS_Optimized,0.029900002118665725,1.96875,10,True,1,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
BFS_Optimized,0.027999994927085936,1.96875,10,True,2,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
BFS_Optimized,0.02729999687289819,1.96875,10,True,3,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
BFS_Optimized,0.026299996534362435,1.96875,10,True,4,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
BFS_Optimized,0.02680000034160912,1.96875,10,True,5,10,10,bipartite_graph,bipartite_graph; disconnected; sparse; unweighted; undirected; V=10; E=10; fill=22.22%,22.22
DFS_Optimized,0.05070000042906031,1.5390625,10,True,1,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Optimized,0.047299996367655694,1.5390625,10,True,2,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Optimized,0.04569999873638153,1.5390625,10,True,3,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Optimized,0.046399996790569276,1.5390625,10,True,4,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Optimized,0.044699998397845775,1.5390625,10,True,5,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Optimized,0.029199996788520366,1.8984375,10,True,1,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Optimized,0.028299997211433947,1.8984375,10,True,2,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Optimized,0.0259000007645227,1.8984375,10,True,3,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Optimized,0.02540000423323363,1.8984375,10,True,4,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
BFS_Optimized,0.026500005333218724,1.8984375,10,True,5,10,45,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=10; E=45; fill=100.00%,100.0
DFS_Optimized,0.04149999585933983,1.3515625,10,True,1,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Optimized,0.03840000135824084,1.3515625,10,True,2,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Optimized,0.03699999797390774,1.3515625,10,True,3,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Optimized,0.03560000186553225,1.3515625,10,True,4,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Optimized,0.0377000033040531,1.3515625,10,True,5,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Optimized,0.026599998818710446,1.8984375,10,True,1,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Optimized,0.023799999326001853,1.8984375,10,True,2,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Optimized,0.02469999890308827,1.8984375,10,True,3,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Optimized,0.0242000023717992,1.8984375,10,True,4,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
BFS_Optimized,0.023800006601959467,1.8984375,10,True,5,10,18,wheel_graph,wheel_graph; connected; medium; unweighted; undirected; V=10; E=18; fill=40.00%,40.0
DFS_Optimized,0.04030000127386302,1.2890625,10,True,1,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Optimized,0.037500001781154424,1.2890625,10,True,2,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Optimized,0.036299999919719994,1.2890625,10,True,3,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Optimized,0.04350000381236896,1.2890625,10,True,4,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Optimized,0.03539999306667596,1.2890625,10,True,5,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Optimized,0.026400004571769387,1.8984375,10,True,1,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Optimized,0.024100001610349864,1.8984375,10,True,2,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Optimized,0.023699998564552516,1.8984375,10,True,3,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Optimized,0.02510000194888562,1.8984375,10,True,4,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
BFS_Optimized,0.024599998141638935,1.8984375,10,True,5,10,13,grid_planar,grid_planar; connected; sparse; unweighted; undirected; V=10; E=13; fill=28.89%,28.89
DFS_Optimized,0.046399996790569276,1.3515625,10,True,1,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
DFS_Optimized,0.03980000474257395,1.3515625,10,True,2,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
DFS_Optimized,0.03850000211969018,1.3515625,10,True,3,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
DFS_Optimized,0.03850000211969018,1.3515625,10,True,4,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
DFS_Optimized,0.03819999983534217,1.3515625,10,True,5,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
BFS_Optimized,0.031000003218650818,1.96875,10,True,1,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
BFS_Optimized,0.027499998395796865,1.96875,10,True,2,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
BFS_Optimized,0.027900001441594213,1.96875,10,True,3,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
BFS_Optimized,0.02710000262595713,1.96875,10,True,4,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
BFS_Optimized,0.02649999805726111,1.96875,10,True,5,10,16,weighted_graph,weighted_graph; disconnected; medium; weighted; undirected; V=10; E=16; fill=35.56%,35.56
DFS_Optimized,0.03879999712808058,1.2890625,10,True,1,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Optimized,0.036600002204068005,1.2890625,10,True,2,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Optimized,0.043000000005122274,1.2890625,10,True,3,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Optimized,0.035899996873922646,1.2890625,10,True,4,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Optimized,0.03579999611247331,1.2890625,10,True,5,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Optimized,0.02729999687289819,1.8984375,10,True,1,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Optimized,0.02559999848017469,1.8984375,10,True,2,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Optimized,0.024599998141638935,1.8984375,10,True,3,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Optimized,0.024700006179045886,1.8984375,10,True,4,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
BFS_Optimized,0.02439999661874026,1.8984375,10,True,5,10,15,strip_weights,strip_weights; connected; medium; unweighted; undirected; V=10; E=15; fill=33.33%,33.33
DFS_Optimized,0.041200000850949436,1.3203125,10,True,1,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Optimized,0.03819999983534217,1.3203125,10,True,2,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Optimized,0.6084999986342154,1.3203125,10,True,3,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Optimized,0.12029999925289303,1.3203125,10,True,4,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Optimized,0.40640000224811956,1.3203125,10,True,5,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Optimized,0.03980000474257395,1.9609375,10,True,1,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Optimized,0.03090000245720148,1.9609375,10,True,2,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Optimized,0.10309999925084412,1.9609375,10,True,3,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Optimized,0.05520000559045002,1.9609375,10,True,4,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
BFS_Optimized,0.06130000110715628,1.9609375,10,True,5,10,7,disconnected_graph,disconnected_graph; disconnected; sparse; unweighted; undirected; V=10; E=7; fill=15.56%,15.56
DFS_Optimized,0.20419999782461673,4.3515625,50,True,1,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
DFS_Optimized,0.1798999946913682,4.3515625,50,True,2,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
DFS_Optimized,0.17799999477574602,4.3515625,50,True,3,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
DFS_Optimized,0.6340000036288984,4.3515625,50,True,4,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
DFS_Optimized,1.5340999962063506,4.3515625,50,True,5,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
BFS_Optimized,0.1869000043370761,3.8046875,50,True,1,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
BFS_Optimized,0.16789999790489674,3.8046875,50,True,2,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
BFS_Optimized,0.6148999964352697,3.8046875,50,True,3,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
BFS_Optimized,0.17049999587470666,3.8046875,50,True,4,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
BFS_Optimized,0.16269999468931928,3.8046875,50,True,5,50,196,simple_graph,simple_graph; connected; sparse; unweighted; undirected; V=50; E=196; fill=16.00%,16.0
DFS_Optimized,0.6416000032913871,9.7265625,50,True,1,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
DFS_Optimized,0.5392000020947307,9.7265625,50,True,2,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
DFS_Optimized,0.8547000034013763,9.7265625,50,True,3,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
DFS_Optimized,0.6535000065923668,9.7265625,50,True,4,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
DFS_Optimized,1.9839000015053898,9.7265625,50,True,5,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
BFS_Optimized,0.35599999682744965,3.8046875,50,True,1,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
BFS_Optimized,0.3246000051149167,3.8046875,50,True,2,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
BFS_Optimized,0.5508999965968542,3.8046875,50,True,3,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
BFS_Optimized,0.2821000016410835,3.8046875,50,True,4,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
BFS_Optimized,0.24710000434424728,3.8046875,50,True,5,50,848,dense_graph,dense_graph; connected; medium; unweighted; undirected; V=50; E=848; fill=69.22%,69.22
DFS_Optimized,11.911499997950159,3.265625,50,True,1,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Optimized,0.5098999972688034,3.265625,50,True,2,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Optimized,0.2595999976620078,3.265625,50,True,3,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Optimized,0.2705000006244518,3.265625,50,True,4,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Optimized,0.2538999979151413,3.265625,50,True,5,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Optimized,0.1520000005257316,3.8046875,50,True,1,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Optimized,0.13939999917056412,3.8046875,50,True,2,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Optimized,0.13559999933931977,3.8046875,50,True,3,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Optimized,0.14880000526318327,3.8046875,50,True,4,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
BFS_Optimized,0.13469999976223335,3.8046875,50,True,5,50,49,tree,tree; connected; sparse; unweighted; undirected; V=50; E=49; fill=4.00%,4.0
DFS_Optimized,0.254700004006736,3.203125,50,True,1,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Optimized,0.2610000010463409,3.203125,50,True,2,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Optimized,0.25289999757660553,3.203125,50,True,3,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Optimized,0.2587999988463707,3.203125,50,True,4,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Optimized,0.25090000417549163,3.203125,50,True,5,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Optimized,0.16070000128820539,3.9609375,50,True,1,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Optimized,0.13839999883202836,3.9609375,50,True,2,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Optimized,0.14119999832473695,3.9609375,50,True,3,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Optimized,0.13659999967785552,3.9609375,50,True,4,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Optimized,0.13529999705497175,3.9609375,50,True,5,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Optimized,0.3310999964014627,4.3515625,50,True,1,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
DFS_Optimized,0.31689999741502106,4.3515625,50,True,2,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
DFS_Optimized,0.3346999947098084,4.3515625,50,True,3,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
DFS_Optimized,0.42779999785125256,4.3515625,50,True,4,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
DFS_Optimized,0.3358999965712428,4.3515625,50,True,5,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
BFS_Optimized,0.170599996636156,3.8046875,50,True,1,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
BFS_Optimized,0.15789999451953918,3.8046875,50,True,2,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
BFS_Optimized,0.15859999984968454,3.8046875,50,True,3,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
BFS_Optimized,0.15949999942677096,3.8046875,50,True,4,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
BFS_Optimized,0.1694999955361709,3.8046875,50,True,5,50,197,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=197; fill=16.08%,16.08
DFS_Optimized,0.6674000032944605,12.7265625,50,True,1,50,1225,complete_graph,complete_graph; connected; dense; unweighted; undirected; V=50; E=1225; fill=100.00%,100.0
